player_id,session_at,duration_mins
P000,2026-04-07 17:03:35.564406,6
P000,2026-04-08 17:03:35.564406,16
P000,2026-04-14 17:03:35.564406,20
P000,2026-04-14 17:03:35.564406,53
P000,2026-04-14 17:03:35.564406,44
P000,2026-04-14 17:03:35.564406,37
P000,2026-04-12 17:03:35.564406,25
P000,2026-04-09 17:03:35.564406,43
P000,2026-04-14 17:03:35.564406,5
P000,2026-04-07 17:03:35.564406,43
P000,2026-04-11 17:03:35.564406,41
P000,2026-04-10 17:03:35.564406,22
P000,2026-04-17 17:03:35.564406,27
P002,2026-04-16 17:03:35.564406,50
P002,2026-04-13 17:03:35.564406,42
P002,2026-04-17 17:03:35.564406,21
P002,2026-04-17 17:03:35.564406,9
P002,2026-04-13 17:03:35.564406,36
P002,2026-04-17 17:03:35.564406,11
P002,2026-04-17 17:03:35.564406,9
P002,2026-04-14 17:03:35.564406,24
P002,2026-04-17 17:03:35.564406,37
P002,2026-04-16 17:03:35.564406,12
P003,2026-04-10 17:03:35.564406,57
P003,2026-03-24 17:03:35.564406,53
P003,2026-04-11 17:03:35.564406,14
P003,2026-04-01 17:03:35.564406,21
P003,2026-03-29 17:03:35.564406,46
P003,2026-04-15 17:03:35.564406,33
P003,2026-04-11 17:03:35.564406,34
P004,2026-03-31 17:03:35.564406,13
P004,2026-04-08 17:03:35.564406,52
P004,2026-03-31 17:03:35.564406,26
P004,2026-04-09 17:03:35.564406,37
P005,2026-04-12 17:03:35.564406,6
P005,2026-04-14 17:03:35.564406,49
P005,2026-04-16 17:03:35.564406,32
P005,2026-04-11 17:03:35.564406,17
P005,2026-04-15 17:03:35.564406,21
P005,2026-04-15 17:03:35.564406,36
P005,2026-04-11 17:03:35.564406,43
P006,2026-03-31 17:03:35.564406,42
P006,2026-03-27 17:03:35.564406,25
P006,2026-04-11 17:03:35.564406,41
P006,2026-04-03 17:03:35.564406,54
P006,2026-04-12 17:03:35.564406,44
P006,2026-04-09 17:03:35.564406,47
P006,2026-04-10 17:03:35.564406,5
P006,2026-03-29 17:03:35.564406,19
P006,2026-04-14 17:03:35.564406,54
P006,2026-04-17 17:03:35.564406,56
P007,2026-04-15 17:03:35.564406,13
P007,2026-04-06 17:03:35.564406,12
P007,2026-04-05 17:03:35.564406,57
P008,2026-04-15 17:03:35.564406,38
P008,2026-04-16 17:03:35.564406,5
P008,2026-04-15 17:03:35.564406,40
P008,2026-04-14 17:03:35.564406,26
P008,2026-04-17 17:03:35.564406,12
P008,2026-04-16 17:03:35.564406,26
P008,2026-04-16 17:03:35.564406,51
P008,2026-04-16 17:03:35.564406,30
P008,2026-04-16 17:03:35.564406,11
P008,2026-04-16 17:03:35.564406,50
P008,2026-04-17 17:03:35.564406,14
P008,2026-04-15 17:03:35.564406,9
P008,2026-04-15 17:03:35.564406,13
P008,2026-04-15 17:03:35.564406,41
P008,2026-04-16 17:03:35.564406,9
P009,2026-04-06 17:03:35.564406,13
P009,2026-03-29 17:03:35.564406,27
P009,2026-03-30 17:03:35.564406,17
P009,2026-04-10 17:03:35.564406,7
P009,2026-03-30 17:03:35.564406,23
P009,2026-04-08 17:03:35.564406,15
P009,2026-04-03 17:03:35.564406,35
P009,2026-04-11 17:03:35.564406,30
P009,2026-04-04 17:03:35.564406,54
P009,2026-04-09 17:03:35.564406,48
P010,2026-04-01 17:03:35.564406,21
P010,2026-04-16 17:03:35.564406,49
P010,2026-04-06 17:03:35.564406,33
P010,2026-04-07 17:03:35.564406,41
P010,2026-04-15 17:03:35.564406,13
P011,2026-04-13 17:03:35.564406,15
P011,2026-04-11 17:03:35.564406,31
P011,2026-04-13 17:03:35.564406,41
P011,2026-04-17 17:03:35.564406,35
P011,2026-04-08 17:03:35.564406,25
P011,2026-04-09 17:03:35.564406,21
P011,2026-04-12 17:03:35.564406,50
P011,2026-04-16 17:03:35.564406,18
P011,2026-04-09 17:03:35.564406,27
P011,2026-04-16 17:03:35.564406,51
P011,2026-04-14 17:03:35.564406,21
P012,2026-03-27 17:03:35.564406,5
P012,2026-04-01 17:03:35.564406,10
P012,2026-04-16 17:03:35.564406,59
P013,2026-04-04 17:03:35.564406,35
P013,2026-04-14 17:03:35.564406,21
P013,2026-04-15 17:03:35.564406,37
P013,2026-04-06 17:03:35.564406,31
P013,2026-04-05 17:03:35.564406,15
P013,2026-04-14 17:03:35.564406,12
P014,2026-04-13 17:03:35.564406,17
P014,2026-04-13 17:03:35.564406,13
P014,2026-04-17 17:03:35.564406,19
P014,2026-04-16 17:03:35.564406,41
P015,2026-04-15 17:03:35.564406,43
P015,2026-04-16 17:03:35.564406,18
P015,2026-04-07 17:03:35.564406,8
P015,2026-04-09 17:03:35.564406,38
P015,2026-04-16 17:03:35.564406,25
P015,2026-04-16 17:03:35.564406,26
P015,2026-04-05 17:03:35.564406,30
P015,2026-04-10 17:03:35.564406,42
P015,2026-04-15 17:03:35.564406,41
P015,2026-04-06 17:03:35.564406,26
P015,2026-04-05 17:03:35.564406,49
P015,2026-04-13 17:03:35.564406,51
P015,2026-04-05 17:03:35.564406,18
P016,2026-04-14 17:03:35.564406,60
P016,2026-04-15 17:03:35.564406,42
P016,2026-04-13 17:03:35.564406,36
P016,2026-04-13 17:03:35.564406,26
P016,2026-04-15 17:03:35.564406,20
P016,2026-04-13 17:03:35.564406,38
P016,2026-04-12 17:03:35.564406,16
P017,2026-04-12 17:03:35.564406,40
P017,2026-04-16 17:03:35.564406,11
P017,2026-04-16 17:03:35.564406,40
P017,2026-04-17 17:03:35.564406,27
P017,2026-04-13 17:03:35.564406,10
P017,2026-04-15 17:03:35.564406,9
P017,2026-04-16 17:03:35.564406,9
P017,2026-04-12 17:03:35.564406,54
P017,2026-04-17 17:03:35.564406,34
P017,2026-04-14 17:03:35.564406,45
P017,2026-04-11 17:03:35.564406,58
P017,2026-04-17 17:03:35.564406,30
P017,2026-04-14 17:03:35.564406,19
P017,2026-04-17 17:03:35.564406,60
P018,2026-04-12 17:03:35.564406,38
P018,2026-04-11 17:03:35.564406,56
P018,2026-03-31 17:03:35.564406,30
P018,2026-04-03 17:03:35.564406,58
P018,2026-04-14 17:03:35.564406,57
P018,2026-04-09 17:03:35.564406,52
P018,2026-04-15 17:03:35.564406,28
P018,2026-04-05 17:03:35.564406,13
P018,2026-04-11 17:03:35.564406,34
P019,2026-04-08 17:03:35.564406,11
P019,2026-03-24 17:03:35.564406,51
P019,2026-04-06 17:03:35.564406,59
P019,2026-03-22 17:03:35.564406,8
P020,2026-04-14 17:03:35.564406,19
P020,2026-04-17 17:03:35.564406,8
P020,2026-04-05 17:03:35.564406,28
P020,2026-04-11 17:03:35.564406,40
P020,2026-04-15 17:03:35.564406,38
P020,2026-04-11 17:03:35.564406,8
P021,2026-04-12 17:03:35.564406,40
P021,2026-04-06 17:03:35.564406,14
P021,2026-04-14 17:03:35.564406,12
P021,2026-04-15 17:03:35.564406,26
P021,2026-04-08 17:03:35.564406,34
P021,2026-04-11 17:03:35.564406,50
P021,2026-04-12 17:03:35.564406,57
P021,2026-04-04 17:03:35.564406,38
P021,2026-04-08 17:03:35.564406,48
P021,2026-04-14 17:03:35.564406,7
P022,2026-04-16 17:03:35.564406,13
P022,2026-04-16 17:03:35.564406,56
P022,2026-04-17 17:03:35.564406,38
P022,2026-04-17 17:03:35.564406,44
P022,2026-04-17 17:03:35.564406,10
P022,2026-04-17 17:03:35.564406,52
P023,2026-04-11 17:03:35.564406,57
P023,2026-04-14 17:03:35.564406,19
P023,2026-04-16 17:03:35.564406,12
P023,2026-04-12 17:03:35.564406,38
P023,2026-04-12 17:03:35.564406,56
P023,2026-04-10 17:03:35.564406,22
P023,2026-04-15 17:03:35.564406,26
P023,2026-04-06 17:03:35.564406,41
P024,2026-04-04 17:03:35.564406,5
P024,2026-04-09 17:03:35.564406,19
P024,2026-04-01 17:03:35.564406,32
P024,2026-04-06 17:03:35.564406,25
P024,2026-03-28 17:03:35.564406,5
P024,2026-04-07 17:03:35.564406,12
P024,2026-04-09 17:03:35.564406,30
P024,2026-04-10 17:03:35.564406,5
P024,2026-04-09 17:03:35.564406,5
P024,2026-04-11 17:03:35.564406,52
P024,2026-03-29 17:03:35.564406,38
P024,2026-04-05 17:03:35.564406,52
P025,2026-04-08 17:03:35.564406,55
P025,2026-04-17 17:03:35.564406,33
P025,2026-04-08 17:03:35.564406,58
P025,2026-04-08 17:03:35.564406,44
P025,2026-04-14 17:03:35.564406,50
P025,2026-04-14 17:03:35.564406,56
P025,2026-04-14 17:03:35.564406,45
P025,2026-04-08 17:03:35.564406,12
P025,2026-04-17 17:03:35.564406,18
P025,2026-04-16 17:03:35.564406,24
P025,2026-04-14 17:03:35.564406,37
P026,2026-04-12 17:03:35.564406,44
P026,2026-04-13 17:03:35.564406,16
P026,2026-04-14 17:03:35.564406,45
P026,2026-04-15 17:03:35.564406,17
P026,2026-04-12 17:03:35.564406,43
P026,2026-04-17 17:03:35.564406,19
P026,2026-04-17 17:03:35.564406,29
P026,2026-04-15 17:03:35.564406,29
P026,2026-04-14 17:03:35.564406,49
P026,2026-04-13 17:03:35.564406,33
P026,2026-04-13 17:03:35.564406,6
P026,2026-04-13 17:03:35.564406,5
P026,2026-04-17 17:03:35.564406,52
P026,2026-04-12 17:03:35.564406,45
P026,2026-04-15 17:03:35.564406,12
P027,2026-04-11 17:03:35.564406,43
P027,2026-04-01 17:03:35.564406,30
P027,2026-04-15 17:03:35.564406,12
P027,2026-04-10 17:03:35.564406,10
P027,2026-04-16 17:03:35.564406,49
P027,2026-04-04 17:03:35.564406,24
P027,2026-04-17 17:03:35.564406,5
P027,2026-04-05 17:03:35.564406,22
P027,2026-03-30 17:03:35.564406,15
P027,2026-04-11 17:03:35.564406,58
P027,2026-03-31 17:03:35.564406,21
P027,2026-04-01 17:03:35.564406,24
P027,2026-04-03 17:03:35.564406,36
P027,2026-04-03 17:03:35.564406,26
P027,2026-04-13 17:03:35.564406,60
P028,2026-04-17 17:03:35.564406,18
P028,2026-04-15 17:03:35.564406,44
P028,2026-04-15 17:03:35.564406,53
P028,2026-04-15 17:03:35.564406,6
P030,2026-04-17 17:03:35.564406,43
P030,2026-03-28 17:03:35.564406,39
P030,2026-03-24 17:03:35.564406,26
P030,2026-03-27 17:03:35.564406,36
P030,2026-04-07 17:03:35.564406,34
P030,2026-04-03 17:03:35.564406,51
P030,2026-04-17 17:03:35.564406,15
P030,2026-04-11 17:03:35.564406,38
P030,2026-04-15 17:03:35.564406,49
P030,2026-04-02 17:03:35.564406,32
P030,2026-03-30 17:03:35.564406,19
P031,2026-04-07 17:03:35.564406,8
P032,2026-03-29 17:03:35.564406,29
P032,2026-04-07 17:03:35.564406,15
P032,2026-04-07 17:03:35.564406,42
P032,2026-03-28 17:03:35.564406,20
P032,2026-04-07 17:03:35.564406,10
P032,2026-04-07 17:03:35.564406,36
P032,2026-03-30 17:03:35.564406,32
P032,2026-03-26 17:03:35.564406,55
P032,2026-04-14 17:03:35.564406,5
P032,2026-03-23 17:03:35.564406,20
P032,2026-04-16 17:03:35.564406,27
P032,2026-03-24 17:03:35.564406,20
P032,2026-04-12 17:03:35.564406,46
P032,2026-04-13 17:03:35.564406,8
P032,2026-04-03 17:03:35.564406,40
P033,2026-04-08 17:03:35.564406,53
P033,2026-04-11 17:03:35.564406,6
P033,2026-04-17 17:03:35.564406,50
P033,2026-04-07 17:03:35.564406,55
P033,2026-04-03 17:03:35.564406,59
P033,2026-04-06 17:03:35.564406,16
P033,2026-04-03 17:03:35.564406,51
P033,2026-04-07 17:03:35.564406,12
P033,2026-04-10 17:03:35.564406,41
P033,2026-04-17 17:03:35.564406,15
P033,2026-04-16 17:03:35.564406,54
P033,2026-04-12 17:03:35.564406,30
P033,2026-04-10 17:03:35.564406,18
P033,2026-04-05 17:03:35.564406,51
P033,2026-04-06 17:03:35.564406,49
P034,2026-04-05 17:03:35.564406,35
P034,2026-04-11 17:03:35.564406,45
P034,2026-04-05 17:03:35.564406,36
P034,2026-04-04 17:03:35.564406,23
P034,2026-04-12 17:03:35.564406,25
P035,2026-03-31 17:03:35.564406,47
P035,2026-04-06 17:03:35.564406,38
P035,2026-04-06 17:03:35.564406,41
P035,2026-04-08 17:03:35.564406,34
P036,2026-04-14 17:03:35.564406,33
P036,2026-04-08 17:03:35.564406,36
P037,2026-04-04 17:03:35.564406,49
P037,2026-04-16 17:03:35.564406,59
P037,2026-04-04 17:03:35.564406,26
P037,2026-04-15 17:03:35.564406,45
P037,2026-04-13 17:03:35.564406,18
P037,2026-04-01 17:03:35.564406,55
P037,2026-04-01 17:03:35.564406,10
P037,2026-04-05 17:03:35.564406,45
P037,2026-04-01 17:03:35.564406,10
P037,2026-03-31 17:03:35.564406,25
P038,2026-04-13 17:03:35.564406,23
P038,2026-04-16 17:03:35.564406,45
P038,2026-04-14 17:03:35.564406,54
P038,2026-04-17 17:03:35.564406,15
P038,2026-04-09 17:03:35.564406,58
P038,2026-04-08 17:03:35.564406,11
P038,2026-04-10 17:03:35.564406,27
P038,2026-04-08 17:03:35.564406,15
P038,2026-04-11 17:03:35.564406,58
P039,2026-04-17 17:03:35.564406,55
P039,2026-04-14 17:03:35.564406,60
P039,2026-04-14 17:03:35.564406,28
P039,2026-04-08 17:03:35.564406,7
P040,2026-04-13 17:03:35.564406,49
P040,2026-04-12 17:03:35.564406,42
P040,2026-04-17 17:03:35.564406,22
P040,2026-04-13 17:03:35.564406,56
P040,2026-04-16 17:03:35.564406,37
P040,2026-04-15 17:03:35.564406,32
P040,2026-04-14 17:03:35.564406,47
P040,2026-04-13 17:03:35.564406,54
